Player,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,playerid
Adam Duvall,Reds,157,647,31,78,99,5,6.00%,26.30%,0.232,0.29,0.249,0.301,0.48,0.327,97,-0.3,-2.9,-2.1,1.6,10950
Nicholas Castellanos,Tigers,157,665,26,73,101,4,6.20%,21.40%,0.218,0.313,0.272,0.32,0.49,0.341,112,-2.1,7.9,-15,1.6,11737
Brandon Phillips,- - -,144,604,13,81,60,11,3.50%,12.10%,0.131,0.308,0.285,0.319,0.416,0.316,91,-2.3,-9,4.9,1.6,791
Jorge Polanco,Twins,133,544,13,60,74,13,7.50%,14.30%,0.154,0.278,0.256,0.313,0.41,0.309,89,3.7,-3.9,0.8,1.6,13152
Jordy Mercer,Pirates,145,558,14,52,58,0,9.10%,15.80%,0.151,0.284,0.255,0.326,0.406,0.308,89,-0.9,-9,6,1.5,6547
Max Kepler,Twins,147,568,19,67,69,6,8.30%,20.10%,0.182,0.276,0.243,0.312,0.425,0.315,93,3.1,-2.1,-3.4,1.4,12144
Asdrubal Cabrera,Mets,135,540,14,66,59,3,9.30%,15.40%,0.154,0.31,0.28,0.351,0.434,0.338,112,-8.9,-0.6,-3.1,1.4,4962
Orlando Arcia,Brewers,153,548,15,56,53,14,6.60%,18.20%,0.13,0.317,0.277,0.324,0.407,0.309,86,0.5,-9.3,5.2,1.4,13185
Trevor Story,Rockies,145,555,24,68,82,7,8.80%,34.40%,0.219,0.332,0.239,0.308,0.457,0.323,81,1,-12.5,7.8,1.3,12564
Billy Hamilton,Reds,139,633,4,85,38,59,7.00%,21.00%,0.088,0.313,0.247,0.299,0.335,0.278,65,9.4,-19.1,10.7,1.2,10199
Denard Span,Giants,129,542,12,73,43,12,7.40%,12.70%,0.155,0.295,0.272,0.329,0.427,0.325,101,-0.7,-0.3,-6.1,1.1,8347
Scott Schebler,Reds,141,531,30,63,67,5,7.30%,23.50%,0.252,0.248,0.233,0.307,0.484,0.33,99,0.7,0,-6.1,1.1,12225
Mitch Moreland,Red Sox,149,576,22,73,79,0,9.90%,20.80%,0.197,0.278,0.246,0.326,0.443,0.326,97,-2.4,-4.3,-6.4,0.9,3086
